_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE?,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM?,IS_THERE_EMERGENCY_POWER?,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NON-SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
5892,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,35,YES,,YES,AKELIUS CANADA LTD,PRIVATE,4153536,NO,YES,NO,50  GLOUCESTER ST ,NO,UNAVAILABLE,13,DOUBLE PANE,1928.0,2019.0
5893,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",YES,YES,218 indoor parking spots and 32 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,6.0,3.0,23,211,NO,"Underground Garage , Garage accessible thru buildg",YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,4153540,NO,YES,YES,66  ISABELLA ST ,YES,FREE,13,DOUBLE PANE,2016.0,2017.0
5894,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,10.0,0.0,4,34,YES,"Ground Level Garage , Surface Parking",NO,AAA VESNA LTD,PRIVATE,4154040,NO,NO,NO,514  DAWES RD ,NO,UNAVAILABLE,19,DOUBLE PANE,1950.0,2017.0
5895,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,1.0,0.0,1.0,6,58,YES,,YES,MONTEREY PARK INC.,PRIVATE,4154047,NO,YES,NO,11  GLENBURN AVE ,NO,PAID,19,SINGLE PANE,1962.0,2017.0
5896,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,16,YES,Surface Parking,NO,POLOCO HOLDINGS INC.,PRIVATE,4154062,NO,NO,NO,2922  ST CLAIR AVE E,YES,UNAVAILABLE,19,DOUBLE PANE,1956.0,2017.0
5897,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,10.0,0.0,4,15,YES,"Ground Level Garage , Surface Parking",NO,OWNER,PRIVATE,4154063,NO,NO,NO,2920  ST CLAIR AVE E,NO,UNAVAILABLE,19,DOUBLE PANE,1956.0,2017.0
5898,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,31,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,OCTOPUS INVESTMENT CORP,PRIVATE,4154065,NO,NO,NO,2908  ST CLAIR AVE E,NO,UNAVAILABLE,19,DOUBLE PANE,1950.0,2017.0
5899,NONE,,YES,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,0.0,4,34,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154066,NO,YES,NO,2892  ST CLAIR AVE E,YES,UNAVAILABLE,19,SINGLE PANE,1955.0,2017.0
5900,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,78.0,41.0,2.0,6,78,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,PRIVATE,4154070,NO,YES,NO,189  CEDARVALE AVE ,YES,FREE,19,DOUBLE PANE,1950.0,2017.0
5901,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,10,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154551,NO,YES,NO,21  NEPTUNE DR ,NO,UNAVAILABLE,08,DOUBLE PANE,1950.0,2017.0
5902,NONE,,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,NO,YES,YES,34.0,9.0,1.0,4,34,NO,Carport,YES,,PRIVATE,4154552,NO,YES,NO,3388  BATHURST ST ,YES,FREE,08,SINGLE PANE,1958.0,2017.0
5903,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2.0,2.0,2.0,12,181,YES,Surface Parking,YES,TCH,TCHC,4154558,NO,NO,NO,3174  BATHURST ST ,YES,PAID,08,DOUBLE PANE,1983.0,2017.0
5904,NONE,,NO,NO,0 indoor parking spots and 7 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,0.0,3,40,NO,Surface Parking,YES,GOLD SEAL MANAGEMENT INC.,PRIVATE,4154572,NO,YES,NO,390-398  WILSON AVE ,YES,UNAVAILABLE,06,DOUBLE PANE,1952.0,2017.0
5905,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,33,YES,"Ground Level Garage , Surface Parking",NO,COMPTEN MANAGEMENT INC.,PRIVATE,4154578,NO,YES,NO,30  VINCI CRES ,NO,FREE,06,DOUBLE PANE,1960.0,2017.0
5906,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0.0,11.0,0.0,3,11,NO,Surface Parking,YES,RAM-LAND PROPERTY MANAGEMENT,PRIVATE,4154583,NO,YES,NO,9  ROSSEAU RD ,NO,FREE,06,DOUBLE PANE,1955.0,2017.0
5907,NONE,,YES,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,2.0,15,171,YES,"Underground Garage , Garage accessible thru buildg",YES,AZURIA GROUP INCORPORATED,PRIVATE,4154929,NO,NO,NO,450  WALMER RD ,YES,PAID,12,DOUBLE PANE,1960.0,2017.0
5908,NONE,,YES,NO,0 indoor parking spots and 30 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,2.0,12,117,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,BEAUX PROPERTIES MANAGEMENT,PRIVATE,4154931,NO,NO,NO,21  TICHESTER RD ,YES,PAID,12,DOUBLE PANE,1956.0,2017.0
5909,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,24,YES,Surface Parking,YES,,PRIVATE,4154944,NO,NO,NO,1580  BATHURST ST ,YES,UNAVAILABLE,12,DOUBLE PANE,1940.0,2017.0
5910,NONE,,NO,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,1.0,0.0,4,36,NO,"Underground Garage , Garage accessible thru buildg",NO,GREENWIN INC.,PRIVATE,4154946,NO,YES,NO,1574  BATHURST ST ,YES,UNAVAILABLE,12,DOUBLE PANE,1926.0,2017.0
5911,NONE,,NO,NO,Not Available,NO,Recycling bins,NO,NO,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,0.0,3,23,NO,Surface Parking,YES,NORTHVIEW APARTMENT REIT ,PRIVATE,4155483,NO,YES,NO,26  ALBERT AVE ,NO,UNAVAILABLE,03,DOUBLE PANE,1950.0,2017.0
5912,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,NO,NO,0.0,0.0,0.0,4,14,NO,Surface Parking,YES,,PRIVATE,4155489,NO,YES,NO,2561  LAKE SHORE BLVD W,NO,FREE,03,DOUBLE PANE,1952.0,2017.0
5913,NONE,,NO,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,NO,NO,0.0,0.0,0.0,4,26,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155491,NO,YES,NO,2557  LAKE SHORE BLVD W,NO,FREE,03,DOUBLE PANE,1952.0,2017.0
5914,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,26,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155492,NO,YES,NO,2555  LAKE SHORE BLVD W,NO,FREE,03,DOUBLE PANE,1952.0,2017.0
5915,NONE,,YES,NO,0 indoor parking spots and 8 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,2.0,4,24,NO,Surface Parking,YES,GREENWIN INC.,PRIVATE,4155858,NO,YES,NO,41  SPADINA RD ,NO,UNAVAILABLE,11,DOUBLE PANE,1905.0,2017.0
5916,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,13,,,,,PRIVATE,4155874,,,,5  BIRCHLEA AVE ,,,03,DOUBLE PANE,1955.0,
5917,NONE,,YES,NO,0 indoor parking spots and 10 outdoor parking spots,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,4,71,NO,"Ground Level Garage , Surface Parking",YES,GREENWIN INC.,PRIVATE,4155881,NO,YES,NO,65 A  HILLSIDE DR ,YES,UNAVAILABLE,14,DOUBLE PANE,1954.0,2017.0
5918,NONE,,YES,YES,20 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,YES,0.0,3.0,3.0,16,230,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,VERTICA RESIDENT SERVICES,PRIVATE,4155883,NO,YES,NO,66  PACIFIC AVE ,YES,PAID,04,DOUBLE PANE,1965.0,2017.0
5919,CENTRAL AIR,"Indoor pool , Indoor exercise room , Sauna",YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,4.0,3.0,17,228,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,PARK PROPERTY MANAGEMENT INC.,PRIVATE,4155889,NO,YES,NO,73  WIDDICOMBE HILL BLVD ,YES,FREE,02,DOUBLE PANE,1974.0,2017.0
5920,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,4.0,5.0,3.0,24,327,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN,TCHC,4156038,NO,NO,NO,375  BLEECKER ST ,YES,PAID,13,SINGLE PANE,1969.0,2017.0
5921,NONE,,YES,NO,18 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,2.0,2.0,12,164,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,M&R PROPERTY MANAGEMENT,PRIVATE,4156043,NO,YES,NO,275  CASSANDRA BLVD ,YES,FREE,16,DOUBLE PANE,1965.0,2017.0
5922,INDIVIDUAL UNITS,"Outdoor pool , Outdoor rec facilities",YES,NO,Not Available,NO,Recycling bins,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,12,NO,Surface Parking,YES,MORGUARD RESIDENTIAL,PRIVATE,4156416,NO,YES,NO,109  GENERATION BLVD ,NO,BOTH,25,DOUBLE PANE,1975.0,2017.0
5923,INDIVIDUAL UNITS,"Outdoor pool , Child play area",YES,NO,Not Available,NO,Recycling bins,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,12,NO,Surface Parking,YES,MORGUARD RESIDENTIAL,PRIVATE,4156417,NO,YES,NO,41  GENERATION BLVD ,NO,BOTH,25,DOUBLE PANE,1975.0,2017.0
5924,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities",YES,NO,45 indoor parking spots and 90 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,1.0,3.0,17,243,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,MINTO PROPERTIES INC.,PRIVATE,4156433,NO,YES,NO,111  PACIFIC AVE ,YES,PAID,04,DOUBLE PANE,1986.0,2017.0
5925,CENTRAL AIR,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0.0,5.0,3.0,18,248,NO,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4156439,NO,NO,NO,33  GABIAN WAY ,YES,BOTH,05,DOUBLE PANE,1993.0,2017.0
5926,CENTRAL AIR,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,NO,0.0,7.0,2.0,4,72,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4152653,NO,NO,NO,963-967  PHARMACY AVE ,YES,FREE,21,DOUBLE PANE,1993.0,2017.0
5927,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,1.0,5,39,YES,Surface Parking,YES,MONTEREY PARK INC.,PRIVATE,4152658,NO,YES,NO,1780  LAWRENCE AVE E,NO,PAID,21,DOUBLE PANE,1961.0,2017.0
5928,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,7,104,NO,Surface Parking,YES,RANEE MANAGEMENT,PRIVATE,4152665,NO,NO,NO,2301  VICTORIA PARK AVE ,YES,FREE,21,DOUBLE PANE,1960.0,2017.0
5929,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,17,,,,,PRIVATE,4152669,,,,644  KENNEDY RD ,,,20,DOUBLE PANE,,
5930,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,4.0,3.0,14,186,YES,Surface Parking,NO,AMAZ PROPERTY MANAGEMENT,PRIVATE,4152673,NO,NO,NO,720  KENNEDY RD ,YES,FREE,20,DOUBLE PANE,1965.0,2017.0
5931,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,19,,,,,PRIVATE,4153104,,,,1136  DUPONT ST ,,,09,DOUBLE PANE,1975.0,
5932,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,NO,NO,0.0,0.0,0.0,4,24,NO,,YES,,PRIVATE,4153112,NO,NO,NO,923  ST CLAIR AVE W,YES,UNAVAILABLE,09,SINGLE PANE,1930.0,2017.0
5933,NONE,"Outdoor rec facilities , Child play area",YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,16.0,0.0,4,32,NO,"Underground Garage , Garage accessible thru buildg",YES,ST CLARE'S,SOCIAL HOUSING,4153556,NO,YES,NO,5  HAHN PL ,NO,UNAVAILABLE,10,DOUBLE PANE,1980.0,2017.0
5934,INDIVIDUAL UNITS,,YES,YES,0 indoor parking spots and 4 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,YES,YES,NO,NO,0.0,0.0,2.0,7,67,NO,Underground Garage,YES,,PRIVATE,4153584,NO,YES,NO,321  SHERBOURNE ST ,YES,FREE,13,DOUBLE PANE,1960.0,2017.0
5935,NONE,,YES,YES,0 indoor parking spots and 6 outdoor parking spots,NO,Recycling bins,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,3.0,2.0,3.0,24,383,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,"PRESTON GROUP - TORONTO, ON",PRIVATE,4154076,NO,NO,NO,90  EASTDALE AVE ,YES,BOTH,19,SINGLE PANE,1969.0,2017.0
5936,NONE,Indoor recreation room,NO,YES,30 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,YES,0.0,1.0,2.0,8,44,NO,Surface Parking,YES,,SOCIAL HOUSING,4154085,NO,YES,NO,270  DONLANDS AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,2012.0,2017.0
5937,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,5.0,3.0,2.0,12,160,NO,"Underground Garage , Garage accessible thru buildg",YES,RANEE MANAGEMENT,PRIVATE,4154093,NO,YES,NO,205  COSBURN AVE ,YES,BOTH,14,DOUBLE PANE,1967.0,2017.0
5938,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,2.0,8.0,0.0,3,17,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154104,NO,NO,NO,257  TORRENS AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1950.0,2017.0
5939,NONE,,NO,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,15.0,0.0,3,34,NO,"Ground Level Garage , Surface Parking",NO,ROLIN REALTY LIMITED,PRIVATE,4154108,NO,NO,NO,15  BATER AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1960.0,2017.0
5940,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,11,,,,,PRIVATE,4154589,,,,23  ROSSEAU RD ,,,06,DOUBLE PANE,,
5941,NONE,Outdoor pool,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,80.0,0.0,2.0,9,80,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154604,NO,YES,NO,4190  BATHURST ST ,YES,FREE,06,DOUBLE PANE,1966.0,2017.0
5942,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0.0,0.0,0.0,3,13,NO,Surface Parking,YES,,PRIVATE,4154605,NO,YES,NO,4238  BATHURST ST ,NO,UNAVAILABLE,06,DOUBLE PANE,1956.0,2017.0
5943,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,4.0,2.0,2.0,9,99,YES,,YES,,TCHC,4154970,NO,NO,NO,130  VAUGHAN RD ,YES,BOTH,12,SINGLE PANE,1977.0,2017.0
5944,NONE,,NO,NO,0 indoor parking spots and 4 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,40,NO,,YES,COGIR REAL ESTATE,PRIVATE,4154972,NO,NO,NO,210  WYCHWOOD AVE ,NO,UNAVAILABLE,12,SINGLE PANE,1930.0,2017.0
5945,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,14.0,0.0,4,39,NO,"Underground Garage , Garage accessible thru buildg",YES,MARKAL PROPERTY MANAGEMENT,PRIVATE,4155003,NO,NO,NO,1996  BATHURST ST ,NO,UNAVAILABLE,12,DOUBLE PANE,1949.0,2017.0
5946,NONE,,NO,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,33,YES,Ground Level Garage,NO,JENNIC INVESTMENTS INC.,PRIVATE,4155005,NO,YES,NO,1071  EGLINTON AVE W,NO,UNAVAILABLE,12,DOUBLE PANE,1955.0,2017.0
5947,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,16.0,0.0,3,21,NO,Surface Parking,NO,,PRIVATE,4155504,NO,YES,NO,2507  LAKE SHORE BLVD W,NO,UNAVAILABLE,03,DOUBLE PANE,1955.0,2017.0
5948,NONE,,NO,NO,12 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,26.0,0.0,4,27,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4155508,NO,YES,NO,2696  LAKE SHORE BLVD W,NO,UNAVAILABLE,03,DOUBLE PANE,1955.0,2017.0
5949,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,17,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155510,NO,YES,NO,2667  LAKE SHORE BLVD W,NO,UNAVAILABLE,03,DOUBLE PANE,1955.0,2017.0
5950,CENTRAL AIR,"Indoor recreation room , Indoor exercise room , Sauna",YES,YES,70 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,2.0,5,91,NO,"Underground Garage , Garage accessible thru buildg",YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,4155901,NO,YES,NO,88  SPADINA RD ,YES,PAID,11,DOUBLE PANE,2009.0,2017.0
5951,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,1.0,3.0,0.0,3,36,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGMENT,TCHC,4156455,NO,NO,NO,20  EPPLEWORTH RD ,YES,PAID,20,SINGLE PANE,1969.0,2017.0
5952,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,19,NO,Surface Parking,YES,,PRIVATE,4170952,NO,YES,NO,330  AVENUE RD ,NO,UNAVAILABLE,12,DOUBLE PANE,1925.0,2017.0
5953,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,22,,,,,SOCIAL HOUSING,4462209,,,,3738  ST CLAIR AVE E,,,20,DOUBLE PANE,,
5954,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,11,,,,,PRIVATE,4457070,,,,1127  O'CONNOR DR ,,,19,DOUBLE PANE,1951.0,
5955,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,12,,,,,PRIVATE,4457100,,,,1157  O'CONNOR DR ,,,19,DOUBLE PANE,1953.0,
5956,INDIVIDUAL UNITS,,NO,NO,0 indoor parking spots and 8 outdoor parking spots,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,15,YES,,YES,EZ PROPERTY MANAGEMENT,PRIVATE,4476608,NO,YES,NO,987  KINGSTON RD ,NO,UNAVAILABLE,19,DOUBLE PANE,1925.0,2018.0
5957,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,,0.0,0.0,3,26,YES,,YES,GOWAN PROPERTY MANAGEMENT,PRIVATE,4415696,NO,NO,NO,432  JARVIS ST ,NO,UNAVAILABLE,13,DOUBLE PANE,1928.0,2018.0
5958,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,,1.0,4,44,NO,"Ground Level Garage , Surface Parking",YES,GILINDO MARCOCCHIO LIMITED,PRIVATE,4356717,NO,YES,NO,177  STEPHEN DR ,YES,UNAVAILABLE,03,DOUBLE PANE,1954.0,2018.0
5959,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,12,,,,,PRIVATE,4458811,,,,1143  O'CONNOR DR ,,,19,DOUBLE PANE,1951.0,
5960,NONE,,YES,NO,0 indoor parking spots and 22 outdoor parking spots,YES,Green Bin / Organics,YES,NO,ELECTRIC,NO,NO,NO,NO,NO,,0.0,0.0,3,17,YES,,NO,DPM2 LTD,PRIVATE,4408652,YES,YES,NO,69  BALDWIN ST ,YES,UNAVAILABLE,11,DOUBLE PANE,1927.0,2018.0
5961,NONE,,NO,NO,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,NO,NO,0.0,0.0,0.0,3,10,NO,Surface Parking,YES,,SOCIAL HOUSING,4288126,NO,NO,NO,1339  KING ST W,NO,UNAVAILABLE,04,DOUBLE PANE,1920.0,2017.0
5962,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,5.0,0.0,3,12,NO,"Ground Level Garage , Surface Parking",YES,MARS INVESTMENTS CO.,PRIVATE,4245705,YES,YES,YES,359  KIPLING AVE ,NO,FREE,03,DOUBLE PANE,1967.0,2017.0
5963,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,1.0,0.0,2.0,8,76,NO,"Underground Garage , Garage accessible thru buildg",YES,CAPREIT,PRIVATE,4240549,NO,YES,NO,2190  WESTON RD ,YES,UNAVAILABLE,05,DOUBLE PANE,1962.0,2017.0
5964,NONE,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,4.0,30,300,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",YES,MEDALLION CORPORATION,PRIVATE,4333368,NO,YES,NO,545  SHERBOURNE ST ,YES,PAID,13,DOUBLE PANE,1977.0,2018.0
5965,NONE,"Indoor recreation room , Outdoor rec facilities",YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,4.0,30,296,NO,"Underground Garage , Garage accessible thru buildg",YES,MEDALLION CORPORATION,PRIVATE,4333382,NO,YES,NO,555  SHERBOURNE ST ,YES,PAID,13,DOUBLE PANE,1978.0,2018.0
5966,NONE,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,5.0,31,514,NO,Underground Garage,YES,MEDALLION CORPORATION,PRIVATE,4333391,NO,YES,NO,565  SHERBOURNE ST ,YES,PAID,13,DOUBLE PANE,1978.0,2018.0
5967,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,4.0,2.0,25,183,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGEMENT,TCHC,4286044,NO,NO,NO,402-444  LUMSDEN AVE ,YES,BOTH,19,SINGLE PANE,1969.0,2017.0
5968,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,1.0,1.0,2.0,7,57,YES,"Underground Garage , Garage accessible thru buildg",NO,TCH,TCHC,4286239,NO,NO,NO,12  BROADWAY AVE ,YES,UNAVAILABLE,15,DOUBLE PANE,1993.0,2017.0
